Bezeichnung:schluessel
Angefügter Kommentar:Gelb
Schliesst:Stargate
Hinterlegtes Pfand:30€
Ausgeliehen seit:2025-07-16
Ausgeliehen bis:2025-08-15
Ausgeliehen von:Maxm@gmail.com

Bezeichnung:schluessel
Angefügter Kommentar:Rot
Schliesst:Atlantis
Hinterlegtes Pfand:Leben
Ausgeliehen seit:2025-07-17
Ausgeliehen bis:2025-07-10
Ausgeliehen von:dieHard@yiep.pie

Bezeichnung:gegenstand
Angefügter Kommentar:Fantasy
Titel:der kleine Hobbit
Exemplar Nummer1
Hinterlegtes Pfand:Schwert
Ausgeliehen seit:2025-07-10
Ausgeliehen bis:2025-07-15
Ausgeliehen von:Böse@dark.de

